source_archive	source_member	destination	original_frames	staged_frames	padding_each_side_ms	use
sound artifacts ALL69 16k.tar	lvl1_counting_one.wav	one.wav	12160	18560	200	counting_word
sound artifacts ALL69 16k.tar	lvl1_counting_two.wav	two.wav	10240	16640	200	counting_word
sound artifacts ALL69 16k.tar	lvl1_counting_three.wav	three.wav	10880	17280	200	counting_word
sound artifacts ALL69 16k.tar	lvl1_counting_four.wav	four.wav	9920	16320	200	counting_word
sound artifacts ALL69 16k.tar	lvl1_counting_five.wav	five.wav	9920	16320	200	counting_word
sound artifacts ALL69 16k.tar	lvl1_counting_six.wav	six.wav	7360	13760	200	counting_word
sound artifacts ALL69 16k.tar	lvl1_counting_seven.wav	seven.wav	9600	16000	200	counting_word
sound artifacts ALL69 16k.tar	lvl1_counting_eight.wav	eight.wav	8960	15360	200	counting_word
sound artifacts ALL69 16k.tar	lvl1_counting_nine.wav	nine.wav	12160	18560	200	counting_word
sound artifacts ALL69 16k.tar	lvl1_counting_ten.wav	ten.wav	10240	16640	200	counting_word
sound artifacts ALL69 16k.tar	lvl1_counting_one.wav	1.wav	12160	18560	200	ascii_digit
sound artifacts ALL69 16k.tar	lvl1_counting_two.wav	2.wav	10240	16640	200	ascii_digit
sound artifacts ALL69 16k.tar	lvl1_counting_three.wav	3.wav	10880	17280	200	ascii_digit
sound artifacts ALL69 16k.tar	lvl1_counting_four.wav	4.wav	9920	16320	200	ascii_digit
sound artifacts ALL69 16k.tar	lvl1_counting_five.wav	5.wav	9920	16320	200	ascii_digit
sound artifacts ALL69 16k.tar	lvl1_counting_six.wav	6.wav	7360	13760	200	ascii_digit
sound artifacts ALL69 16k.tar	lvl1_counting_seven.wav	7.wav	9600	16000	200	ascii_digit
sound artifacts ALL69 16k.tar	lvl1_counting_eight.wav	8.wav	8960	15360	200	ascii_digit
sound artifacts ALL69 16k.tar	lvl1_counting_nine.wav	9.wav	12160	18560	200	ascii_digit
sound artifacts ALL69 16k.tar	lvl2_ABCs_a.wav	a.wav	11200	17600	200	ascii_letter
sound artifacts ALL69 16k.tar	lvl2_ABCs_a.wav	A.wav	11200	17600	200	ascii_letter
sound artifacts ALL69 16k.tar	lvl2_ABCs_b.wav	b.wav	10560	16960	200	ascii_letter
sound artifacts ALL69 16k.tar	lvl2_ABCs_b.wav	B.wav	10560	16960	200	ascii_letter
sound artifacts ALL69 16k.tar	lvl2_ABCs_c.wav	c.wav	10560	16960	200	ascii_letter
sound artifacts ALL69 16k.tar	lvl2_ABCs_c.wav	C.wav	10560	16960	200	ascii_letter
sound artifacts ALL69 16k.tar	lvl2_ABCs_d.wav	d.wav	10560	16960	200	ascii_letter
sound artifacts ALL69 16k.tar	lvl2_ABCs_d.wav	D.wav	10560	16960	200	ascii_letter
sound artifacts ALL69 16k.tar	lvl2_ABCs_e.wav	e.wav	10880	17280	200	ascii_letter
sound artifacts ALL69 16k.tar	lvl2_ABCs_e.wav	E.wav	10880	17280	200	ascii_letter
sound artifacts ALL69 16k.tar	lvl2_ABCs_f.wav	f.wav	8640	15040	200	ascii_letter
sound artifacts ALL69 16k.tar	lvl2_ABCs_f.wav	F.wav	8640	15040	200	ascii_letter
sound artifacts ALL69 16k.tar	lvl2_ABCs_g.wav	g.wav	13120	19520	200	ascii_letter
sound artifacts ALL69 16k.tar	lvl2_ABCs_g.wav	G.wav	13120	19520	200	ascii_letter
sound artifacts ALL69 16k.tar	lvl2_ABCs_h.wav	h.wav	12480	18880	200	ascii_letter
sound artifacts ALL69 16k.tar	lvl2_ABCs_h.wav	H.wav	12480	18880	200	ascii_letter
sound artifacts ALL69 16k.tar	lvl2_ABCs_i.wav	i.wav	13120	19520	200	ascii_letter
sound artifacts ALL69 16k.tar	lvl2_ABCs_i.wav	I.wav	13120	19520	200	ascii_letter
sound artifacts ALL69 16k.tar	lvl2_ABCs_j.wav	j.wav	11840	18240	200	ascii_letter
sound artifacts ALL69 16k.tar	lvl2_ABCs_j.wav	J.wav	11840	18240	200	ascii_letter
sound artifacts ALL69 16k.tar	lvl2_ABCs_k.wav	k.wav	12160	18560	200	ascii_letter
sound artifacts ALL69 16k.tar	lvl2_ABCs_k.wav	K.wav	12160	18560	200	ascii_letter
sound artifacts ALL69 16k.tar	lvl2_ABCs_l.wav	l.wav	11520	17920	200	ascii_letter
sound artifacts ALL69 16k.tar	lvl2_ABCs_l.wav	L.wav	11520	17920	200	ascii_letter
sound artifacts ALL69 16k.tar	lvl2_ABCs_m.wav	m.wav	10560	16960	200	ascii_letter
sound artifacts ALL69 16k.tar	lvl2_ABCs_m.wav	M.wav	10560	16960	200	ascii_letter
