LESSON 3 — ABC LADDER TABLE — A..Z — 351 letters composed — sealed for Shakti ingest
rung,letter,ladder_string,ladder_length
1,A,A,1
2,B,AB,2
3,C,ABC,3
4,D,ABCD,4
5,E,ABCDE,5
6,F,ABCDEF,6
7,G,ABCDEFG,7
8,H,ABCDEFGH,8
9,I,ABCDEFGHI,9
10,J,ABCDEFGHIJ,10
11,K,ABCDEFGHIJK,11
12,L,ABCDEFGHIJKL,12
13,M,ABCDEFGHIJKLM,13
14,N,ABCDEFGHIJKLMN,14
15,O,ABCDEFGHIJKLMNO,15
16,P,ABCDEFGHIJKLMNOP,16
17,Q,ABCDEFGHIJKLMNOPQ,17
18,R,ABCDEFGHIJKLMNOPQR,18
19,S,ABCDEFGHIJKLMNOPQRS,19
20,T,ABCDEFGHIJKLMNOPQRST,20
21,U,ABCDEFGHIJKLMNOPQRSTU,21
22,V,ABCDEFGHIJKLMNOPQRSTUV,22
23,W,ABCDEFGHIJKLMNOPQRSTUVW,23
24,X,ABCDEFGHIJKLMNOPQRSTUVWX,24
25,Y,ABCDEFGHIJKLMNOPQRSTUVWXY,25
26,Z,ABCDEFGHIJKLMNOPQRSTUVWXYZ,26
composed_total,351
