LESSON 4 — COLOR TABLE — 9 colors worded, 10 passes, word bound to light — sealed for Shakti ingest
PALETTE AS SPOKEN [LOCKED]: RED, GREEN, WHITE, GREEN, BLUE — green appears twice, positions 2 and 4
pass,color,word,binding
1,RED,red,word+light
1,GREEN,green,word+light
1,BLUE,blue,word+light
1,WHITE,white,word+light
1,BLACK,black,word+light
1,YELLOW,yellow,word+light
1,ORANGE,orange,word+light
1,PURPLE,purple,word+light
1,CYAN,cyan,word+light
2,RED,red,word+light
2,GREEN,green,word+light
2,BLUE,blue,word+light
2,WHITE,white,word+light
2,BLACK,black,word+light
2,YELLOW,yellow,word+light
2,ORANGE,orange,word+light
2,PURPLE,purple,word+light
2,CYAN,cyan,word+light
3,RED,red,word+light
3,GREEN,green,word+light
3,BLUE,blue,word+light
3,WHITE,white,word+light
3,BLACK,black,word+light
3,YELLOW,yellow,word+light
3,ORANGE,orange,word+light
3,PURPLE,purple,word+light
3,CYAN,cyan,word+light
4,RED,red,word+light
4,GREEN,green,word+light
4,BLUE,blue,word+light
4,WHITE,white,word+light
4,BLACK,black,word+light
4,YELLOW,yellow,word+light
4,ORANGE,orange,word+light
4,PURPLE,purple,word+light
4,CYAN,cyan,word+light
5,RED,red,word+light
5,GREEN,green,word+light
5,BLUE,blue,word+light
5,WHITE,white,word+light
5,BLACK,black,word+light
5,YELLOW,yellow,word+light
5,ORANGE,orange,word+light
5,PURPLE,purple,word+light
5,CYAN,cyan,word+light
6,RED,red,word+light
6,GREEN,green,word+light
6,BLUE,blue,word+light
6,WHITE,white,word+light
6,BLACK,black,word+light
6,YELLOW,yellow,word+light
6,ORANGE,orange,word+light
6,PURPLE,purple,word+light
6,CYAN,cyan,word+light
7,RED,red,word+light
7,GREEN,green,word+light
7,BLUE,blue,word+light
7,WHITE,white,word+light
7,BLACK,black,word+light
7,YELLOW,yellow,word+light
7,ORANGE,orange,word+light
7,PURPLE,purple,word+light
7,CYAN,cyan,word+light
8,RED,red,word+light
8,GREEN,green,word+light
8,BLUE,blue,word+light
8,WHITE,white,word+light
8,BLACK,black,word+light
8,YELLOW,yellow,word+light
8,ORANGE,orange,word+light
8,PURPLE,purple,word+light
8,CYAN,cyan,word+light
9,RED,red,word+light
9,GREEN,green,word+light
9,BLUE,blue,word+light
9,WHITE,white,word+light
9,BLACK,black,word+light
9,YELLOW,yellow,word+light
9,ORANGE,orange,word+light
9,PURPLE,purple,word+light
9,CYAN,cyan,word+light
10,RED,red,word+light
10,GREEN,green,word+light
10,BLUE,blue,word+light
10,WHITE,white,word+light
10,BLACK,black,word+light
10,YELLOW,yellow,word+light
10,ORANGE,orange,word+light
10,PURPLE,purple,word+light
10,CYAN,cyan,word+light
