LESSON 5 — Add TABLE — 400 problems — sealed for Shakti ingest
card,left,operator,right,answer
math_Add_1-1,1,+,1,2
math_Add_1-2,1,+,2,3
math_Add_1-3,1,+,3,4
math_Add_1-4,1,+,4,5
math_Add_1-5,1,+,5,6
math_Add_1-6,1,+,6,7
math_Add_1-7,1,+,7,8
math_Add_1-8,1,+,8,9
math_Add_1-9,1,+,9,10
math_Add_1-10,1,+,10,11
math_Add_1-11,1,+,11,12
math_Add_1-12,1,+,12,13
math_Add_1-13,1,+,13,14
math_Add_1-14,1,+,14,15
math_Add_1-15,1,+,15,16
math_Add_1-16,1,+,16,17
math_Add_1-17,1,+,17,18
math_Add_1-18,1,+,18,19
math_Add_1-19,1,+,19,20
math_Add_1-20,1,+,20,21
math_Add_2-1,2,+,1,3
math_Add_2-2,2,+,2,4
math_Add_2-3,2,+,3,5
math_Add_2-4,2,+,4,6
math_Add_2-5,2,+,5,7
math_Add_2-6,2,+,6,8
math_Add_2-7,2,+,7,9
math_Add_2-8,2,+,8,10
math_Add_2-9,2,+,9,11
math_Add_2-10,2,+,10,12
math_Add_2-11,2,+,11,13
math_Add_2-12,2,+,12,14
math_Add_2-13,2,+,13,15
math_Add_2-14,2,+,14,16
math_Add_2-15,2,+,15,17
math_Add_2-16,2,+,16,18
math_Add_2-17,2,+,17,19
math_Add_2-18,2,+,18,20
math_Add_2-19,2,+,19,21
math_Add_2-20,2,+,20,22
math_Add_3-1,3,+,1,4
math_Add_3-2,3,+,2,5
math_Add_3-3,3,+,3,6
math_Add_3-4,3,+,4,7
math_Add_3-5,3,+,5,8
math_Add_3-6,3,+,6,9
math_Add_3-7,3,+,7,10
math_Add_3-8,3,+,8,11
math_Add_3-9,3,+,9,12
math_Add_3-10,3,+,10,13
math_Add_3-11,3,+,11,14
math_Add_3-12,3,+,12,15
math_Add_3-13,3,+,13,16
math_Add_3-14,3,+,14,17
math_Add_3-15,3,+,15,18
math_Add_3-16,3,+,16,19
math_Add_3-17,3,+,17,20
math_Add_3-18,3,+,18,21
math_Add_3-19,3,+,19,22
math_Add_3-20,3,+,20,23
math_Add_4-1,4,+,1,5
math_Add_4-2,4,+,2,6
math_Add_4-3,4,+,3,7
math_Add_4-4,4,+,4,8
math_Add_4-5,4,+,5,9
math_Add_4-6,4,+,6,10
math_Add_4-7,4,+,7,11
math_Add_4-8,4,+,8,12
math_Add_4-9,4,+,9,13
math_Add_4-10,4,+,10,14
math_Add_4-11,4,+,11,15
math_Add_4-12,4,+,12,16
math_Add_4-13,4,+,13,17
math_Add_4-14,4,+,14,18
math_Add_4-15,4,+,15,19
math_Add_4-16,4,+,16,20
math_Add_4-17,4,+,17,21
math_Add_4-18,4,+,18,22
math_Add_4-19,4,+,19,23
math_Add_4-20,4,+,20,24
math_Add_5-1,5,+,1,6
math_Add_5-2,5,+,2,7
math_Add_5-3,5,+,3,8
math_Add_5-4,5,+,4,9
math_Add_5-5,5,+,5,10
math_Add_5-6,5,+,6,11
math_Add_5-7,5,+,7,12
math_Add_5-8,5,+,8,13
math_Add_5-9,5,+,9,14
