LESSON 5 — Div TABLE — 400 problems — sealed for Shakti ingest
card,left,operator,right,answer
math_Div_1-1,1,/,1,1
math_Div_2-2,2,/,2,1
math_Div_3-3,3,/,3,1
math_Div_4-4,4,/,4,1
math_Div_5-5,5,/,5,1
math_Div_6-6,6,/,6,1
math_Div_7-7,7,/,7,1
math_Div_8-8,8,/,8,1
math_Div_9-9,9,/,9,1
math_Div_10-10,10,/,10,1
math_Div_11-11,11,/,11,1
math_Div_12-12,12,/,12,1
math_Div_13-13,13,/,13,1
math_Div_14-14,14,/,14,1
math_Div_15-15,15,/,15,1
math_Div_16-16,16,/,16,1
math_Div_17-17,17,/,17,1
math_Div_18-18,18,/,18,1
math_Div_19-19,19,/,19,1
math_Div_20-20,20,/,20,1
math_Div_2-1,2,/,1,2
math_Div_4-2,4,/,2,2
math_Div_6-3,6,/,3,2
math_Div_8-4,8,/,4,2
math_Div_10-5,10,/,5,2
math_Div_12-6,12,/,6,2
math_Div_14-7,14,/,7,2
math_Div_16-8,16,/,8,2
math_Div_18-9,18,/,9,2
math_Div_20-10,20,/,10,2
math_Div_22-11,22,/,11,2
math_Div_24-12,24,/,12,2
math_Div_26-13,26,/,13,2
math_Div_28-14,28,/,14,2
math_Div_30-15,30,/,15,2
math_Div_32-16,32,/,16,2
math_Div_34-17,34,/,17,2
math_Div_36-18,36,/,18,2
math_Div_38-19,38,/,19,2
math_Div_40-20,40,/,20,2
math_Div_3-1,3,/,1,3
math_Div_6-2,6,/,2,3
math_Div_9-3,9,/,3,3
math_Div_12-4,12,/,4,3
math_Div_15-5,15,/,5,3
math_Div_18-6,18,/,6,3
math_Div_21-7,21,/,7,3
math_Div_24-8,24,/,8,3
math_Div_27-9,27,/,9,3
math_Div_30-10,30,/,10,3
math_Div_33-11,33,/,11,3
math_Div_36-12,36,/,12,3
math_Div_39-13,39,/,13,3
math_Div_42-14,42,/,14,3
math_Div_45-15,45,/,15,3
math_Div_48-16,48,/,16,3
math_Div_51-17,51,/,17,3
math_Div_54-18,54,/,18,3
math_Div_57-19,57,/,19,3
math_Div_60-20,60,/,20,3
math_Div_4-1,4,/,1,4
math_Div_8-2,8,/,2,4
math_Div_12-3,12,/,3,4
math_Div_16-4,16,/,4,4
math_Div_20-5,20,/,5,4
math_Div_24-6,24,/,6,4
math_Div_28-7,28,/,7,4
math_Div_32-8,32,/,8,4
math_Div_36-9,36,/,9,4
math_Div_40-10,40,/,10,4
math_Div_44-11,44,/,11,4
math_Div_48-12,48,/,12,4
math_Div_52-13,52,/,13,4
math_Div_56-14,56,/,14,4
math_Div_60-15,60,/,15,4
math_Div_64-16,64,/,16,4
math_Div_68-17,68,/,17,4
math_Div_72-18,72,/,18,4
math_Div_76-19,76,/,19,4
math_Div_80-20,80,/,20,4
math_Div_5-1,5,/,1,5
math_Div_10-2,10,/,2,5
math_Div_15-3,15,/,3,5
math_Div_20-4,20,/,4,5
math_Div_25-5,25,/,5,5
math_Div_30-6,30,/,6,5
math_Div_35-7,35,/,7,5
math_Div_40-8,40,/,8,5
math_Div_45-9,45,/,9,5
math_Div_50-10,50,/,10,5
math_Div_55-11,55,/,11,5
math_Div_60-12,60,/,12,5
math_Div_65-13,65,/,13,5
math_Div_70-14,70,/,14,5
math_Div_75-15,75,/,15,5
math_Div_80-16,80,/,16,5
math_Div_85-17,85,/,17,5
math_Div_90-18,90,/,18,5
math_Div_95-19,95,/,19,5
math_Div_100-20,100,/,20,5
math_Div_6-1,6,/,1,6
math_Div_12-2,12,/,2,6
math_Div_18-3,18,/,3,6
math_Div_24-4,24,/,4,6
math_Div_30-5,30,/,5,6
math_Div_36-6,36,/,6,6
math_Div_42-7,42,/,7,6
math_Div_48-8,48,/,8,6
math_Div_54-9,54,/,9,6
math_Div_60-10,60,/,10,6
math_Div_66-11,66,/,11,6
math_Div_72-12,72,/,12,6
math_Div_78-13,78,/,13,6
math_Div_84-14,84,/,14,6
math_Div_90-15,90,/,15,6
math_Div_96-16,96,/,16,6
math_Div_102-17,102,/,17,6
math_Div_108-18,108,/,18,6
math_Div_114-19,114,/,19,6
math_Div_120-20,120,/,20,6
math_Div_7-1,7,/,1,7
math_Div_14-2,14,/,2,7
math_Div_21-3,21,/,3,7
math_Div_28-4,28,/,4,7
math_Div_35-5,35,/,5,7
math_Div_42-6,42,/,6,7
math_Div_49-7,49,/,7,7
math_Div_56-8,56,/,8,7
math_Div_63-9,63,/,9,7
math_Div_70-10,70,/,10,7
math_Div_77-11,77,/,11,7
math_Div_84-12,84,/,12,7
math_Div_91-13,91,/,13,7
math_Div_98-14,98,/,14,7
math_Div_105-15,105,/,15,7
math_Div_112-16,112,/,16,7
math_Div_119-17,119,/,17,7
math_Div_126-18,126,/,18,7
math_Div_133-19,133,/,19,7
math_Div_140-20,140,/,20,7
math_Div_8-1,8,/,1,8
math_Div_16-2,16,/,2,8
math_Div_24-3,24,/,3,8
math_Div_32-4,32,/,4,8
math_Div_40-5,40,/,5,8
math_Div_48-6,48,/,6,8
math_Div_56-7,56,/,7,8
