LESSON 5 — Sub TABLE — 400 problems — sealed for Shakti ingest
card,left,operator,right,answer
math_Sub_1-1,1,-,1,0
math_Sub_1-2,1,-,2,-1
math_Sub_1-3,1,-,3,-2
math_Sub_1-4,1,-,4,-3
math_Sub_1-5,1,-,5,-4
math_Sub_1-6,1,-,6,-5
math_Sub_1-7,1,-,7,-6
math_Sub_1-8,1,-,8,-7
math_Sub_1-9,1,-,9,-8
math_Sub_1-10,1,-,10,-9
math_Sub_1-11,1,-,11,-10
math_Sub_1-12,1,-,12,-11
math_Sub_1-13,1,-,13,-12
math_Sub_1-14,1,-,14,-13
math_Sub_1-15,1,-,15,-14
math_Sub_1-16,1,-,16,-15
math_Sub_1-17,1,-,17,-16
math_Sub_1-18,1,-,18,-17
math_Sub_1-19,1,-,19,-18
math_Sub_1-20,1,-,20,-19
math_Sub_2-1,2,-,1,1
math_Sub_2-2,2,-,2,0
math_Sub_2-3,2,-,3,-1
math_Sub_2-4,2,-,4,-2
math_Sub_2-5,2,-,5,-3
math_Sub_2-6,2,-,6,-4
math_Sub_2-7,2,-,7,-5
math_Sub_2-8,2,-,8,-6
math_Sub_2-9,2,-,9,-7
math_Sub_2-10,2,-,10,-8
math_Sub_2-11,2,-,11,-9
math_Sub_2-12,2,-,12,-10
math_Sub_2-13,2,-,13,-11
math_Sub_2-14,2,-,14,-12
math_Sub_2-15,2,-,15,-13
math_Sub_2-16,2,-,16,-14
math_Sub_2-17,2,-,17,-15
math_Sub_2-18,2,-,18,-16
math_Sub_2-19,2,-,19,-17
math_Sub_2-20,2,-,20,-18
math_Sub_3-1,3,-,1,2
math_Sub_3-2,3,-,2,1
math_Sub_3-3,3,-,3,0
math_Sub_3-4,3,-,4,-1
math_Sub_3-5,3,-,5,-2
math_Sub_3-6,3,-,6,-3
math_Sub_3-7,3,-,7,-4
math_Sub_3-8,3,-,8,-5
math_Sub_3-9,3,-,9,-6
math_Sub_3-10,3,-,10,-7
math_Sub_3-11,3,-,11,-8
math_Sub_3-12,3,-,12,-9
math_Sub_3-13,3,-,13,-10
math_Sub_3-14,3,-,14,-11
math_Sub_3-15,3,-,15,-12
math_Sub_3-16,3,-,16,-13
math_Sub_3-17,3,-,17,-14
math_Sub_3-18,3,-,18,-15
math_Sub_3-19,3,-,19,-16
math_Sub_3-20,3,-,20,-17
math_Sub_4-1,4,-,1,3
math_Sub_4-2,4,-,2,2
math_Sub_4-3,4,-,3,1
math_Sub_4-4,4,-,4,0
math_Sub_4-5,4,-,5,-1
math_Sub_4-6,4,-,6,-2
math_Sub_4-7,4,-,7,-3
math_Sub_4-8,4,-,8,-4
math_Sub_4-9,4,-,9,-5
math_Sub_4-10,4,-,10,-6
math_Sub_4-11,4,-,11,-7
math_Sub_4-12,4,-,12,-8
math_Sub_4-13,4,-,13,-9
math_Sub_4-14,4,-,14,-10
math_Sub_4-15,4,-,15,-11
math_Sub_4-16,4,-,16,-12
math_Sub_4-17,4,-,17,-13
math_Sub_4-18,4,-,18,-14
math_Sub_4-19,4,-,19,-15
math_Sub_4-20,4,-,20,-16
math_Sub_5-1,5,-,1,4
math_Sub_5-2,5,-,2,3
math_Sub_5-3,5,-,3,2
math_Sub_5-4,5,-,4,1
math_Sub_5-5,5,-,5,0
math_Sub_5-6,5,-,6,-1
math_Sub_5-7,5,-,7,-2
math_Sub_5-8,5,-,8,-3
math_Sub_5-9,5,-,9,-4
math_Sub_5-10,5,-,10,-5
math_Sub_5-11,5,-,11,-6
math_Sub_5-12,5,-,12,-7
math_Sub_5-13,5,-,13,-8
math_Sub_5-14,5,-,14,-9
math_Sub_5-15,5,-,15,-10
math_Sub_5-16,5,-,16,-11
math_Sub_5-17,5,-,17,-12
math_Sub_5-18,5,-,18,-13
math_Sub_5-19,5,-,19,-14
math_Sub_5-20,5,-,20,-15
math_Sub_6-1,6,-,1,5
math_Sub_6-2,6,-,2,4
math_Sub_6-3,6,-,3,3
math_Sub_6-4,6,-,4,2
math_Sub_6-5,6,-,5,1
math_Sub_6-6,6,-,6,0
math_Sub_6-7,6,-,7,-1
math_Sub_6-8,6,-,8,-2
math_Sub_6-9,6,-,9,-3
math_Sub_6-10,6,-,10,-4
math_Sub_6-11,6,-,11,-5
math_Sub_6-12,6,-,12,-6
math_Sub_6-13,6,-,13,-7
math_Sub_6-14,6,-,14,-8
math_Sub_6-15,6,-,15,-9
math_Sub_6-16,6,-,16,-10
math_Sub_6-17,6,-,17,-11
math_Sub_6-18,6,-,18,-12
math_Sub_6-19,6,-,19,-13
math_Sub_6-20,6,-,20,-14
math_Sub_7-1,7,-,1,6
math_Sub_7-2,7,-,2,5
math_Sub_7-3,7,-,3,4
math_Sub_7-4,7,-,4,3
math_Sub_7-5,7,-,5,2
math_Sub_7-6,7,-,6,1
math_Sub_7-7,7,-,7,0
math_Sub_7-8,7,-,8,-1
math_Sub_7-9,7,-,9,-2
math_Sub_7-10,7,-,10,-3
math_Sub_7-11,7,-,11,-4
math_Sub_7-12,7,-,12,-5
math_Sub_7-13,7,-,13,-6
math_Sub_7-14,7,-,14,-7
math_Sub_7-15,7,-,15,-8
math_Sub_7-16,7,-,16,-9
math_Sub_7-17,7,-,17,-10
math_Sub_7-18,7,-,18,-11
math_Sub_7-19,7,-,19,-12
math_Sub_7-20,7,-,20,-13
math_Sub_8-1,8,-,1,7
math_Sub_8-2,8,-,2,6
math_Sub_8-3,8,-,3,5
math_Sub_8-4,8,-,4,4
math_Sub_8-5,8,-,5,3
math_Sub_8-6,8,-,6,2
math_Sub_8-7,8,-,7,1
math_Sub_8-8,8,-,8,0
math_Sub_8-9,8,-,9,-1
math_Sub_8-10,8,-,10,-2
math_Sub_8-11,8,-,11,-3
math_Sub_8-12,8,-,12,-4
math_Sub_8-13,8,-,13,-5
math_Sub_8-14,8,-,14,-6
math_Sub_8-15,8,-,15,-7
math_Sub_8-16,8,-,16,-8
math_Sub_8-17,8,-,17,-9
math_Sub_8-18,8,-,18,-10
math_Sub_8-19,8,-,19,-11
math_Sub_8-20,8,-,20,-12
math_Sub_9-1,9,-,1,8
math_Sub_9-2,9,-,2,7
math_Sub_9-3,9,-,3,6
math_Sub_9-4,9,-,4,5
math_Sub_9-5,9,-,5,4
math_Sub_9-6,9,-,6,3
math_Sub_9-7,9,-,7,2
math_Sub_9-8,9,-,8,1
math_Sub_9-9,9,-,9,0
math_Sub_9-10,9,-,10,-1
math_Sub_9-11,9,-,11,-2
math_Sub_9-12,9,-,12,-3
math_Sub_9-13,9,-,13,-4
math_Sub_9-14,9,-,14,-5
math_Sub_9-15,9,-,15,-6
math_Sub_9-16,9,-,16,-7
math_Sub_9-17,9,-,17,-8
math_Sub_9-18,9,-,18,-9
math_Sub_9-19,9,-,19,-10
math_Sub_9-20,9,-,20,-11
math_Sub_10-1,10,-,1,9
